Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
bank,VAT,1,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8830022075055187,0.1698113207547169,0.0225,0.6994252873563218,0.8694811320754716,0.9608938806367866,177s,46876ms
bank,VAT,2,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.8938053097345132,0.1346153846153846,0.0075,0.7990950226244344,0.874951923076923,0.9623476603433866,195s,121693ms
bank,VAT,3,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9004424778761062,0.4615384615384615,0.0425,0.7586196664886357,0.8658653846153846,0.9603677218267188,187s,78126ms
bank,VAT,4,"{'net__criterion__VAT_eps': 1.6371379049026473, 'net__criterion__alpha': 1.1674103799636817, 'net__lr': 0.0014047988378034827}",0.8893805309734514,0.1538461538461538,0.015,0.7354859752120027,0.8883653846153846,0.9655866250948748,205s,66953ms
bank,VAT,5,"{'net__criterion__VAT_eps': 1.5065832050795642, 'net__criterion__alpha': 0.9663107728563063, 'net__lr': 0.0025198133608158673}",0.8915929203539823,0.1923076923076923,0.0175,0.745841784989858,0.8745673076923077,0.9622673800805032,199s,46875ms
bank,VAT,6,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.8893805309734514,0.2692307692307692,0.03,0.7246298302636331,0.8098557692307692,0.94601551677006,200s,65045ms
bank,VAT,7,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.8938053097345132,0.173076923076923,0.0125,0.7723418134377038,0.8910576923076923,0.9665184437057212,189s,50964ms
bank,VAT,8,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8938053097345132,0.25,0.0225,0.7501057082452431,0.8651442307692307,0.9604823625384572,199s,115506ms
bank,VAT,9,"{'net__criterion__VAT_eps': 1.1921968157879261, 'net__criterion__alpha': 1.4764594650133958, 'net__lr': 0.004739646896312246}",0.8982300884955752,0.2115384615384615,0.0125,0.7967316513761468,0.8825480769230769,0.9637856360227028,201s,79943ms
bank,VAT,10,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.9048672566371682,0.2884615384615384,0.015,0.8142194232681472,0.8884134615384615,0.9665107749689652,204s,60957ms
blood,VAT,1,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.76,0.0,0.0,0.38,0.6525341130604289,0.7958321961755437,38s,46875ms
blood,VAT,2,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.7866666666666666,0.1666666666666666,0.0175438596491228,0.7693661971830985,0.827485380116959,0.8858859864162386,26s,59957ms
blood,VAT,3,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.84,0.4444444444444444,0.0350877192982456,0.823076923076923,0.7753411306042886,0.8715058162140039,37s,78123ms
blood,VAT,4,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8133333333333334,0.2777777777777778,0.0175438596491228,0.8224637681159421,0.827972709551657,0.8867054929460134,32s,40287ms
blood,VAT,5,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.76,0.0555555555555555,0.0175438596491228,0.6335616438356164,0.6593567251461988,0.8162352424613364,36s,62500ms
blood,VAT,6,"{'net__criterion__VAT_eps': 2.173025869620166, 'net__criterion__alpha': 0.5201075461874936, 'net__lr': 0.008306506289251895}",0.76,0.0555555555555555,0.0175438596491228,0.6335616438356164,0.7456140350877194,0.8370459536757787,36s,93749ms
blood,VAT,7,"{'net__criterion__VAT_eps': 2.173025869620166, 'net__criterion__alpha': 0.5201075461874936, 'net__lr': 0.008306506289251895}",0.7466666666666667,0.0555555555555555,0.0350877192982456,0.548611111111111,0.7763157894736842,0.8622317518502414,37s,62498ms
blood,VAT,8,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.7733333333333333,0.2222222222222222,0.0526315789473684,0.6827731092436975,0.8338206627680312,0.8860897409762573,31s,57746ms
blood,VAT,9,"{'net__criterion__VAT_eps': 1.2709481284449005, 'net__criterion__alpha': 0.7982823259560308, 'net__lr': 0.005742652615942523}",0.7837837837837838,0.1176470588235294,0.0175438596491228,0.7276995305164319,0.7853457172342622,0.8507981392496902,33s,78127ms
blood,VAT,10,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.7702702702702703,0.1764705882352941,0.0526315789473684,0.6470588235294117,0.6553147574819401,0.7968448694028355,34s,62501ms
breast-cancer-wisc-diag,VAT,1,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.9649122807017544,0.9090909090909092,0.0,0.972972972972973,0.9766233766233766,0.9819747309823456,47s,51964ms
breast-cancer-wisc-diag,VAT,2,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9649122807017544,0.9090909090909092,0.0,0.972972972972973,0.990909090909091,0.9946361867889484,27s,51963ms
breast-cancer-wisc-diag,VAT,3,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.9824561403508772,1.0,0.0277777777777777,0.9772727272727272,0.9986772486772486,0.9990896309981432,29s,50964ms
breast-cancer-wisc-diag,VAT,4,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9824561403508772,0.9523809523809524,0.0,0.9864864864864864,1.0,0.999089630998143,30s,50964ms
breast-cancer-wisc-diag,VAT,5,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9824561403508772,0.9523809523809524,0.0,0.9864864864864864,1.0,0.999694866324917,33s,46874ms
breast-cancer-wisc-diag,VAT,6,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9473684210526316,0.8571428571428571,0.0,0.9615384615384616,0.9933862433862436,0.9925678715723688,32s,48965ms
breast-cancer-wisc-diag,VAT,7,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9824561403508772,0.9523809523809524,0.0,0.9864864864864864,1.0,0.9984887068318218,32s,62499ms
breast-cancer-wisc-diag,VAT,8,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9473684210526316,0.9523809523809524,0.0555555555555555,0.9402597402597402,0.9947089947089948,0.9925766190673776,30s,49965ms
breast-cancer-wisc-diag,VAT,9,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.9824561403508772,1.0,0.0277777777777777,0.9772727272727272,0.9986772486772486,0.9990896309981432,32s,54028ms
breast-cancer-wisc-diag,VAT,10,"{'net__criterion__VAT_eps': 1.2709481284449005, 'net__criterion__alpha': 0.7982823259560308, 'net__lr': 0.005742652615942523}",0.9642857142857144,0.9047619047619048,0.0,0.972972972972973,0.9972789115646258,0.997505785164323,31s,62501ms
breast-tissue,VAT,1,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.6363636363636364,0.5833333333333334,0.0810185185185185,0.5277777777777778,0.9,0.6975501350501351,4s,46875ms
breast-tissue,VAT,2,"{'net__criterion__VAT_eps': 2.8389652274893473, 'net__criterion__alpha': 1.2142412995491114, 'net__lr': 0.009988585365021879}",0.4545454545454545,0.5,0.1037037037037037,0.5333333333333333,0.8583333333333333,0.6877667013687406,8s,78125ms
breast-tissue,VAT,3,"{'net__criterion__VAT_eps': 2.2879803984592746, 'net__criterion__alpha': 0.9238550485581797, 'net__lr': 0.006103292819866452}",0.5454545454545454,0.5,0.0925925925925926,0.3444444444444444,0.9666666666666668,0.8112967046322661,8s,62500ms
breast-tissue,VAT,4,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.6363636363636364,0.5833333333333334,0.074074074074074,0.4722222222222221,0.85,0.663635082355178,5s,46875ms
breast-tissue,VAT,5,"{'net__criterion__VAT_eps': 2.173025869620166, 'net__criterion__alpha': 0.5201075461874936, 'net__lr': 0.008306506289251895}",0.4545454545454545,0.4444444444444444,0.1055555555555555,0.4583333333333333,0.8638888888888889,0.5773694484212386,3s,46876ms
breast-tissue,VAT,6,"{'net__criterion__VAT_eps': 2.953522176380674, 'net__criterion__alpha': 1.104845519745046, 'net__lr': 0.0074187094360431876}",0.6363636363636364,0.6666666666666666,0.0666666666666666,0.5333333333333333,0.8416666666666667,0.7589631654093407,5s,54960ms
breast-tissue,VAT,7,"{'net__criterion__VAT_eps': 2.3042065400033778, 'net__criterion__alpha': 0.931418435433974, 'net__lr': 0.008975811298925523}",0.5,0.5,0.1018518518518518,0.45,0.9,0.6352608878257431,6s,27981ms
breast-tissue,VAT,8,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.7,0.6666666666666666,0.0625,0.5666666666666667,0.9416666666666668,0.8106312656641603,5s,28980ms
breast-tissue,VAT,9,"{'net__criterion__VAT_eps': 2.39526239185453, 'net__criterion__alpha': 0.5602254716292698, 'net__lr': 0.006700990482912111}",0.5,0.5,0.0925925925925926,0.3611111111111111,0.8833333333333333,0.5970624519575044,5s,99930ms
breast-tissue,VAT,10,"{'net__criterion__VAT_eps': 2.953522176380674, 'net__criterion__alpha': 1.104845519745046, 'net__lr': 0.0074187094360431876}",0.5,0.4166666666666667,0.1041666666666666,0.2777777777777777,0.8916666666666667,0.6362615982773802,4s,44969ms
cardiotocography-10clases,VAT,1,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.6666666666666666,0.542537795022315,0.0409468479511976,0.6664873227589522,0.9545615620647842,0.7491784083419045,114s,49965ms
