Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
bank,VAT,1,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.8874172185430463,0.1509433962264151,0.015,0.7344614383338757,0.8667924528301887,0.960025602620189,73s,25983ms
bank,VAT,2,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.9026548672566371,0.25,0.0125,0.8161802355350742,0.881826923076923,0.965062752262027,73s,27982ms
bank,VAT,3,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.8938053097345132,0.2692307692307692,0.025,0.7472741433021808,0.8705048076923076,0.9613470717213597,73s,31251ms
bank,VAT,4,"{'net__criterion__VAT_eps': 1.6371379049026473, 'net__criterion__alpha': 1.1674103799636817, 'net__lr': 0.0014047988378034827}",0.8915929203539823,0.15384615384615385,0.0125,0.7575784124759068,0.8878365384615384,0.9648828146808718,74s,26980ms
bank,VAT,5,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8915929203539823,0.3076923076923077,0.0325,0.7333088774761556,0.8701923076923077,0.9615033238170583,73s,25981ms
bank,VAT,6,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8938053097345132,0.3269230769230769,0.0325,0.7418641390205372,0.8153846153846154,0.947182006274758,73s,40967ms
bank,VAT,7,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8915929203539823,0.23076923076923078,0.0225,0.739310573417302,0.8804807692307692,0.9637177396323757,73s,46879ms
bank,VAT,8,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8938053097345132,0.21153846153846154,0.0175,0.7583205325140809,0.8715865384615384,0.9617889569405618,73s,27196ms
bank,VAT,9,"{'net__criterion__VAT_eps': 1.82852598902934, 'net__criterion__alpha': 0.5641474963487844, 'net__lr': 0.006955473981763197}",0.8938053097345132,0.15384615384615385,0.01,0.7833333333333333,0.8824519230769231,0.9615981504124371,73s,31250ms
bank,VAT,10,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.8982300884955752,0.17307692307692307,0.0075,0.8261363636363637,0.890048076923077,0.9662907625997219,74s,31250ms
blood,VAT,1,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.8133333333333334,0.3333333333333333,0.03508771929824561,0.7854477611940298,0.665692007797271,0.8140629840586511,13s,15626ms
blood,VAT,2,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8,0.2222222222222222,0.017543859649122806,0.8,0.8382066276803118,0.8905786926683177,13s,31254ms
blood,VAT,3,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.8266666666666667,0.3888888888888889,0.03508771929824561,0.8055555555555556,0.77046783625731,0.8708006224600686,13s,15625ms
blood,VAT,4,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8266666666666667,0.3333333333333333,0.017543859649122806,0.8403361344537814,0.793859649122807,0.8706511855758327,13s,31250ms
blood,VAT,5,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.7733333333333333,0.05555555555555555,0.0,0.8851351351351351,0.6817738791423003,0.8283791778568571,13s,31250ms
blood,VAT,6,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.76,0.2222222222222222,0.07017543859649122,0.6455223880597014,0.7383040935672515,0.8354228338254917,13s,31250ms
blood,VAT,7,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.76,0.16666666666666666,0.05263157894736842,0.6413043478260869,0.8065302144249513,0.882891633767892,13s,31251ms
blood,VAT,8,"{'net__criterion__VAT_eps': 2.39526239185453, 'net__criterion__alpha': 0.5602254716292698, 'net__lr': 0.006700990482912111}",0.76,0.0,0.0,0.38,0.8357699805068226,0.8786647607434545,13s,31250ms
