Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
bank,VAT,1,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.8940397350993378,0.20754716981132076,0.015,0.7753642741500271,0.8731132075471698,0.961698063384847,196s,46873ms
bank,VAT,2,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.9004424778761062,0.36538461538461536,0.03,0.7672592138533445,0.8833173076923078,0.9644854204964434,201s,72596ms
bank,VAT,3,"{'net__criterion__VAT_eps': 1.4461632652812366, 'net__criterion__alpha': 1.452749011516985, 'net__lr': 0.0045265412483145116}",0.8982300884955752,0.40384615384615385,0.0375,0.7544070512820513,0.8623557692307692,0.9595211882466104,204s,62500ms
bank,VAT,4,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.8893805309734514,0.38461538461538464,0.045,0.724510551741673,0.8870192307692307,0.9652212291545772,198s,65954ms
bank,VAT,5,"{'net__criterion__VAT_eps': 2.363640598206967, 'net__criterion__alpha': 0.859507900573786, 'net__lr': 0.004426616342613481}",0.8960176991150443,0.3076923076923077,0.0275,0.7539433551198257,0.8704807692307692,0.9606764719620621,191s,60957ms
bank,VAT,6,"{'net__criterion__VAT_eps': 1.4177535121896694, 'net__criterion__alpha': 0.6613095178849963, 'net__lr': 0.0065657724221074455}",0.8805309734513275,0.36538461538461536,0.0525,0.6974514563106796,0.8094711538461539,0.9411695671430009,191s,66953ms
bank,VAT,7,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.8871681415929203,0.28846153846153844,0.035,0.7148854650688841,0.901875,0.9684145218858652,210s,62502ms
bank,VAT,8,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8871681415929203,0.23076923076923078,0.0275,0.7142495185973448,0.8585096153846155,0.9591104488624669,205s,62503ms
bank,VAT,9,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9004424778761062,0.3076923076923077,0.0225,0.7778454332552693,0.8858653846153846,0.9609112959551689,192s,73948ms
bank,VAT,10,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.8960176991150443,0.3269230769230769,0.03,0.7517322898834271,0.8927403846153846,0.9671460303581927,187s,52963ms
